term,ratio,liberal_count,conservative_count
url,300000000001.0,30,0
deutsche,250000000000.99997,25,0
deutsche bank,250000000000.99997,25,0
progressive,230000000000.99997,23,0
org,230000000000.99997,23,0
wall,180000000000.99997,18,0
plumber,170000000000.99997,17,0
social security,170000000000.99997,17,0
michael,170000000000.99997,17,0
web,170000000000.99997,17,0
2f,160000000000.99997,16,0
http 3a,150000000001.0,15,0
project,150000000001.0,15,0
uk url,150000000001.0,15,0
google uk,150000000001.0,15,0
3a 2f,150000000001.0,15,0
3a,150000000001.0,15,0
rct,150000000001.0,15,0
esrc source,150000000001.0,15,0
esrc,150000000001.0,15,0
url sa,150000000001.0,15,0
rct esrc,150000000001.0,15,0
source web,150000000001.0,15,0
url http,150000000001.0,15,0
usg,150000000001.0,15,0
pdf ei,150000000001.0,15,0
private,150000000001.0,15,0
sa,150000000001.0,15,0
google,150000000001.0,15,0
joe plumber,150000000001.0,15,0
ved,150000000001.0,15,0
web cd,150000000001.0,15,0
www google,150000000001.0,15,0
progressives,150000000001.0,15,0
sa rct,150000000001.0,15,0
cd,150000000001.0,15,0
ei,150000000001.0,15,0
cd ved,140000000001.0,14,0
mueller,140000000001.0,14,0
chomsky,130000000001.0,13,0
ties,130000000001.0,13,0
elizabeth warren,130000000001.0,13,0
elizabeth,130000000001.0,13,0
november,120000000001.0,12,0
david,120000000001.0,12,0
manafort,120000000001.0,12,0
noam,110000000001.0,11,0
assad,110000000001.0,11,0
local,100000000001.0,10,0
noam chomsky,100000000001.0,10,0
klein,100000000001.0,10,0
direct,100000000001.0,10,0
wikipedia,100000000001.0,10,0
record,100000000001.0,10,0
corruption,100000000001.0,10,0
weird,100000000001.0,10,0
ask,90000000001.0,9,0
adolf,90000000001.0,9,0
giuliani,90000000001.0,9,0
towers,90000000001.0,9,0
health care,90000000001.0,9,0
aukus,90000000001.0,9,0
medicare,90000000001.0,9,0
mark,90000000001.0,9,0
centrists,90000000001.0,9,0
whistleblower,90000000001.0,9,0
town,90000000001.0,9,0
ending,90000000001.0,9,0
dark towers,90000000001.0,9,0
speaker,90000000001.0,9,0
fear,90000000001.0,9,0
heart,90000000001.0,9,0
book,90000000001.0,9,0
adolf hitler,90000000001.0,9,0
senior,80000000001.0,8,0
independent,80000000001.0,8,0
trade,80000000001.0,8,0
radical,80000000001.0,8,0
code,80000000001.0,8,0
climate change,80000000001.0,8,0
wealth,80000000001.0,8,0
saudi arabia,80000000001.0,8,0
reasons,80000000001.0,8,0
enrich,80000000001.0,8,0
incumbent,80000000001.0,8,0
volunteer,80000000001.0,8,0
cohen,80000000001.0,8,0
arabia,80000000001.0,8,0
christian,80000000001.0,8,0
elite,80000000001.0,8,0
mike,80000000001.0,8,0
trump trump,80000000001.0,8,0
education,80000000001.0,8,0
val,80000000001.0,8,0
pence,80000000001.0,8,0
monday,80000000001.0,8,0
section,80000000001.0,8,0
knows,80000000001.0,8,0
congressman,80000000001.0,8,0
israel palestine,80000000001.0,8,0
